■日本の独立住宅,,■日本の独立住宅,
白い箱型の外観。吹抜けと複数の床レベル。モダニズム木造住宅。,土浦,土浦亀城邸：土浦亀城(つちうら かめき),2024年4月に現在の〈ポーラ青山ビルディング〉敷地内への移築が完了。
切妻屋根の和風、吹抜けの居間を中心に書斎・寝室等を配置。木造住宅。,前川,前川自邸：前川國男(まえかわ くにお),
工業化住宅の先駆け。「15坪住宅」。吹抜けを用い狭小性の克服。,立体,立体最小限住宅：池辺陽(いけべ きよし),
戦後の極限的小住宅の先駆け。3間x3間の9坪の平面。3坪の吹抜け。,増沢,増沢洵邸：増沢洵(ますざわ まこと),
テラス、廊下、居間が連続する開放的な平面。可変家具（移動畳等）空間の変更可能な住宅。 ,斎藤,斎藤助教授の家：清家清(せいけ きよし),
コンクリートを生かした形態と彫りの深い開口。コルビジェのロンシャン礼拝堂のような感じ。外部に対して閉じ「閉鎖性」をつくり出したワンルーム形式の住宅 ,ヴィ,ヴィッラ・クゥクゥ：吉阪隆正(よしざか たかまさ),
4枚の壁柱で正方形の主室を空中に持ち上げ、HPシェルの屋根を設けた構成。住宅生産工業化により設備等の更新が可能な「ムーブネット」。 ,スカ,スカイハウス：菊竹清訓(きくたけ きよのり),
ワンルーム正方形平面に方形屋根を架け、傘の骨のように組まれた木材を内部に現した住宅 ,から,から傘の家：篠原一男(しのはら かずお),
1階の鉄筋コンクリート造のコアの上に、片流れの屋根と2階の居間を中心とした平面計画が特徴である。,軽井,軽井沢の家：吉村順三(よしむら じゅんぞう),
敷地全体を壁(塀)によって囲い込み、四つに分かれた庭が各室に採光と広がりを与えているコートハウス。,正面,正面のない家(N氏邸)：坂倉建築研究所,
小面積で不整形な敷地条件に対し、住空間を機能別に積層して構成した都市住宅である。,塔の,塔の家：東孝光(あずま たかみつ),
1階を生活部分、2階を仕事場に分けた明快な平面構成が特徴。,夫婦,夫婦屋根(めおとやね)の家：山下和正(やました かずまさ),
鉄筋コンクリート造の内側に木構造をおさめた混構造で、中庭のあるコートハウス形式の住宅である。,まつ,まつかわぼっくす：宮脇檀(みやわき まゆみ),
玄関からバルコニーまで降りてゆく中央の吹抜けの両側に居室を配置。トップライトから自然光を取り入れ、住居の中に「都市を埋蔵する」構成を意図。,原広,原広司邸：原広司(はら ひろし),
ファサードに玄関以外の開口部がなく、中央部に中庭を設けた住宅 。,住吉,住吉の長屋：安藤忠雄(あんどう ただお),
街路側が湾曲したロの字型の平面を持ち、外部に閉鎖的な鉄筋コンクリート造の外観が特徴である。,中野,中野本町の家(なかのほんちょう)：伊東豊雄(いとう とよお),
庭と居間とが面する関係を保ちつつ、コンクリートプロック造の住宅を増改築することで、夫婦2人の住まいとした住宅 。,私た,私たちの家：林昌二・林雅子(はやし しょうじ・はやし まさこ),
鉄筋コンクリートの柱の上に鉄骨フレームを架け、上部をアルミやテントで覆った住宅である。,シル,シルバーハット：伊東豊雄(いとう とよお),
■外国の独立住宅,,■外国の独立住宅,
プレーリーハウスの典型例。軒を深く出して水平線を強調し、煙突の垂直線と対比させた住宅 ,ロビ,ロビー邸：フランク・ロイド・ライト,
無彩色と青・赤・黄の三原色との組合せ。デ・ステイルの構成原理。,シュ,シュレーダー邸：リートフェルト,
「近代建築の5原則」として、1ピロティ、2屋上庭園、3自由な平面、4水平連続窓、5自由なファサードを提示し、この原則を具現させた作品 ,サヴ,サヴォア邸：ル・コルビジェ,
南北全面を半透明のガラスブロック壁とし、間仕切り壁にガラスやパンチングメタルを使うことで、内部まで明るい一塊の空間とした住宅 ,ガラ,ガラスの家(ダルザス邸)：ピエール・シャロ―,
2層の床スラブが滝のある渓流の上に張り出し、周囲の自然の眺めを味わえるように意図された住宅,落水,落水荘(らくすいそう)：フランク・ロイド・ライト,
切妻屋根の2棟が組み合わさった形状であり、主棟に対し、居間棟をずらして配置することで、主棟にあるホール（食堂）からも海を見渡せるようにした住宅,夏の,夏の家：グンナール・アスプルンド,
庭と分かち難く結びついた内部空間をもち、居間の奥には庭に面して大きな窓（十字の窓）を設け、積極的に外部を内部に取り込んだ住宅。ピンク等の鮮やかな色彩。,バラ,バラガン自邸：ルイス・バラガン,
不整形敷地に建つ地上4階建ての医院併用住宅であり、台形の平面をもつ医院と矩形の平面をもつ住居は、中庭のスロープによって繋がれている,クル,クルチェット邸：ル・コルビジェ,
"広大な敷地の中に立つ別荘で、暖炉とコアによる明快な平面構成をもつ。
外壁がガラス。 ",ガラ,ガラスの家：フィリップ・ジョンソン,
再組立が可能という理念のもと、形鋼やスチールサッシ等の工業製品を用いて建築された住宅である。,イー,イームズ自邸：チャールズ＆レイ・イームズ,
鉄骨造の特徴を生かした、ユニバーサル空間をもつ。,ファ,ファンズワース邸：ミース・ファン・デル・ローエ,
4軒長屋を改造・改築することにより、路地を長い回廊に置き換え、アプローチから建築物の深部に至るまでに坪庭が随所に設けられた住宅である。 ,バワ,バワ自邸(Number11)：ジェフリー・バワ,ジェフリー・バワは「アジアリゾートの父」とも言われている
二つの矩形のボリュームが45度の角度をもって接合され、一方には2層の個室群が配置され、もう一方には2層分の高さの居間をもつ、幾何学的な構成の住宅 ,フィ,フィッシャー邸：ルイス・カーン,
ショッキングピンクの外観で、壁のスリット、室内のプール、中庭などが設けられ、光が室内の様々な色の壁や水面に降り注ぎ、光と色が競演する空間となっている。,ヒラ,ヒラルディ邸(ギラルディ邸)：ルイス・バラガン,
既存の木造住宅に、安価な材料である金網やトタン板、ベニヤ板の断片等を組み合わせて増改築を行った、ポストモダンを代表する住宅 。,ゲー,ゲーリー自邸：フランク・O・ゲーリー,
■日本の集合住宅,,■日本の集合住宅,
関東大震災後の住宅難に対処するために設立された同潤会による鉄筋コンクリート造の都市型アパート ,同潤,同潤会江戸川アパート：同潤会,
住生活の多様化に対応するために、食事室と台所を一体化したDKおよび食事室と寝室を分離した食寝分離 計画である。 ,公営,公営住宅標準設計51C型：東京大学 吉武泰水研究室(よしたけ やすみ),
2戸×3層の6住戸を1単位とし、3層ごとに共用廊下を設け、そこから上下階の住戸に階段でアクセスするスキップアクセス形式を採用した都市型高層賃貸集合住宅 。,晴海,晴海高層アパート：前川國男,
解体せずに再生・活用する技術的手法を検証するため、解体予定の住棟を用いてストック再生実証試験が行われた団地である。,ひば,ひばりが丘団地：竹中工務店＋都市再生機構,
高度成長期に建設された中層集合住宅を中心とする郊外型大規模住宅団地。,草加,草加松原団地：旧日本住宅公団,
空き住戸を活用したサポート付き共同住宅や戸建て住宅を活用した多世代型シェアハウス等の試みが行われている、大規模なニュータウン。,泉北,泉北ニュータウン(大阪府堺市),
住宅、商業施設、オフィス、レストラン等の機能が複合した建築群で構成された都市型集合住宅で、長い年月をかけてまちなみをつくり出している。,代官,代官山ヒルサイドテラス：槇文彦(まき ふみひこ),
西向きの急斜面に対して住戸の軸を45度に振り、雁行した平面によりバルコニーや開口部に変化を与え、プライバシーの確保を図った。,桜台,桜台コートビレッジ：内井昭蔵(うちい しょうぞう),
戦災者用応急住宅地等の再開発を目的として建設された、高層高密度団地 ,広島,広島基町団地：大高正人(おおたか まさと),
5層ごとに共用の憩いの場等である空中庭園をもつ、工業化工法による集合住宅 ,芦屋,芦屋浜高層住宅：アステム企業連合,アステム企業連合(ASTM)は、A：芦屋浜、S：新日本製鉄、T：竹中工務店、高砂熱学工業、M：松下電工、松下興産の略
七つの住棟により囲まれた二つの中庭をもち、屋根葺材には地元で焼かれた瓦を使用する等、周辺との融和に配慮された地上3階建ての低層集合住宅,茨城,茨城県営六番池アパート：現代計画研究所,
1階のフラット住戸に設けられた専用庭と2〜3階のメゾネット住戸への専用の屋外階段が、路地的なスペースに面して設けられた集合住宅 ,ライ,ライブタウン浜田山：現代建築研究所,
複数住棟の共用の庭をもち、また、各戸の専用庭及び住棟の雁行配置により住戸の独立性を高めた集合住宅 ,タウ,タウンハウス諏訪：日本住宅公団、山設計工房、みのべ建築設計事務所,
緑豊かな急斜面に沿った規則的な格子状の空間構成の中にテラスや中庭的空間を配して、自然や眺望を活かした住戸を創出している。 ,六甲,六甲の集合住宅：安藤忠雄(あんどう ただお),
住棟に囲まれた敷地中央のまとまった共用緑地や広場からアクセスする多様な住戸を、居住者が設計に参加するコーポラティブ方式により建設した集合住宅 ,ユー,ユーコート：京の家創り会,
街区のほぼ中央にある歩行者専用道に面した接地階の住戸に、居住者が趣味や創造活動のアトリエ、教室等に利用することを想定した「フリースペース」と称する一室を設けることによって、沿道の賑わいや親しみのある景観形成を意図している。 ,プロ,プロムナード多摩中央(東京都多摩市),
マスター・アーキテクト方式による一体感のある景観をもつ集合住宅地である。 ,ベル,ベルコリーヌ南大沢(東京都八王子市)：マスターアーキテクト 内井昭蔵,
国内外の6名の建築家がそれぞれの住棟を競作した集合住宅団地である。レム棟・コールハース棟（福岡市）は、各戸に採光と通風を確保するためのプライベートな中庭が設けられた接地型の集合住宅 。,ネク,ネクサスワールド香椎(福岡県福岡市),
80人が集まって生活することに重点を置き、居住者全員で使用するリビングスペースや浴場等の共用空間の充実を図った。 ,再春,再春館製薬女子寮：妹島和世(せじま かずよ),
三つの住棟、集会室及び中央広場で構成され、中央広場については、住戸又は集会室を介してアクセスする居住者専用のものである。 ,熊本,熊本県営保田窪第一団地(ほたくぼ)：山本理顕(やまもと りけん),
居住者の参加によって各住戸の設計が行われたコーポラティブハウスであり、居住者の交流等を意図して共用空間を配置した。,Mポ,Mポート(熊本県熊本市)：もやい住宅設計者集団,
敷地内の緩斜面を活かした緑道の配置や、塀・門を極力設けない外構計画等により、連続した開放的な外部空間を創り出した戸建ての住宅団地である。 ,コモ,コモンシティ星田(大阪府交野市)：坂本一成(さかもと かずなり),
今後の都市型集合住宅のあり方を考える一つのモデルとして、環境との共生、省エネルギーや環境負荷の低減、スケルトン・インフィル等の試みを行っている実験集合住宅である。 ,NE,NEXT21(大阪府大阪市)：大阪ガスNEXT21建設委員会,
道路に対して視覚的に開放されつつ、ガラススクリーンで隔てられた中庭をもつ、アーティストやデザイナーの入居を想定した賃貸集合住宅である。 ,用賀,用賀Aフラット(東京都世田谷区)：早川邦彦(はやかわ くにひこ),
中庭を囲む6階建ての4棟の住棟を、4階にある「上の道」と称する回廊でつないだ集合住宅であり､「上の道」は、プレイロットや植栽等のある街路状の空間として機能させることを意図している。,茨城,茨城県営松代団地：大野秀敏(おおの ひでとし)＋三上建築事務所＋アプル総合計画事務所,
中庭や共用部に面して住戸ごとの土間やテラス等を設け、居住者同士が互いの生活を感じながら居住することができるように計画されている。 ,熊本,熊本県営竜蛇平団地(りゅうじゃびら)：元倉眞琴(もとくら まこと),
壁面線の位置・高さ、壁面率等についての「都市デザインガイドライン」に沿って設計された集合住宅であり、街区型の形式に特徴がある。 ,幕張,幕張ベイタウンパティオス４番街：松永安光(まつなが やすみつ)＋坂本一成(さかもと かずなり),
各階に多様な世帯構成を想定した各種の住戸を配置し、相互扶助的な共生を意図したコレクティブハウスである。 ,イン,インナートリッププラザ神山町：守屋弓男(もりや ゆみお),
阪神・淡路大震災の被災者を対象に建築されたコレクティブハウジングであり、共同の食堂、台所等を設けて、居住者が生活の一部を共同で行うことが可能となっている。 ,真野,真野ふれあい住宅：神戸市住宅局、SVU建築設計事務所,
木造平家建ての住宅団地の建替え事業により建築された公営の住宅であり、高齢者在宅サービスセンターを併設した、シルバーハウジング・プロジェクトを含むものである。 ,世田,世田谷区深沢住宅：世田谷区、市浦ハウジング＆プランニング、岩村アトリエ共同企業体,
北からの強風と地吹雪を防ぐ屋敷林や瓦屋根と漆喰壁による景観によって周辺の風景との調和を図り、地場産材の活用等による地域の活性化を意図した戸建て住宅団地である。 ,中新,中新田町営並柳HOPE住宅(なかにいだ なみやなぎホープ)：針生承一建築研究所(はりゅう しょういち),
昭和40年代に建設された公営住宅の建替えに当たって、21世紀に向けた居住様式を提案することを目標として設計された集合住宅団地である。,岐阜,岐阜県営住宅ハイタウン北方−南ブロック：高橋昌子(たかはし あきこ)、クリスティン・ホーリィ、エリザベス・ディラー、妹島和世(せじま かずよ),
中廊下形式を採用し、中廊下への通風や採光を確保するための大きなテラスを住棟各所にもつ高層板状住棟により構成した高密度な賃貸集合住宅である。 ,東雲,東雲キャナルコート：山本理顕(やまもと りけん)、伊東豊雄(いとう とよお)、他,
各住戸の独立性を保ちつつ、居住者が共同で使用することができる居間や台所等を設置して、コモンミールや掃除等、生活の一部を共同化している、コレクティブハウスである。 ,かん,かんかん森：事業主体：(株)生活科学運営,
団地内にある階段室型の鉄筋コンクリート造の住棟にエレベーターと共用廊下を増築し、介護施設棟や、入居者のみならず誰もが利用できる食堂等が設けられている。 ,ゆい,ゆいま〜る多摩平の森(たまだいら)：プラスニューオフィス,
道路に面する部分は巨大な半透明のテント膜で覆われ、内部は吹抜け空間を介して個室7室とコモンスペースが計画された、シェアハウスである。,SH,SHAREyaraicho：篠原聡子(しのはら さとこ)＋内村綾乃(うちむら あやの),
戦後建設された鉄筋コンクリート造の店舗併用集合住宅であり、改修により、耐震補強やエレベーター設置のほか、多世代向けの住戸改修とDIY可能な住戸の導入などがされている。,堀川,堀川出水団地第1棟・第2棟改修(ほりかわでみず)：アール・アイ・エー,
■外国の集合住宅,,■外国の集合住宅,
波状の有機的なファサードを有し、各住戸の平面が異なる高層集合住宅である。 ,カサ,カサ・ミラ：アントニオ・ガウディ,
シカゴ、国際様式 、高層集合住宅 ,レイ,レイクショアドライブ・アパートメント：ミース・ファン・デル・ローエ,
ピロティのある高層の集合住宅であり、建築物内には住戸に加えて、店舗、ホテル、屋上庭園等の機能がある。 ,ユニ,ユニテ・ダビタシオン：ル・コルビュジエ,
ミラノ、高層集合住宅、麻布台ヒルズみたいな奴 ,トー,トーレ・ヴェラスカ,
高層集合住宅。19階の塔状住棟と13階の円弧状住棟を対比的に配置。,ロメ,ロメオとジュリエット：ハンス・シャロウン,男性器、女性器みたいな感じ
アトリエファイブによる、高密度の「低層」集合住宅である。,ハー,ハーレン・ジードルンク：アトリエ・ファイブ,
10戸の週末用住居群を海の眺望を考慮して、敷地の勾配に沿って中庭を囲むように配置した低層集合住宅である。 ,シー,シーランチ・コンドミニアム：チャールズ・ムーア他,
コンクリートボックスの組合せによって構成された高層集合住宅である。 ,アビ,アビタ’67(カナダ モントリオール)：モシェ・サフディ,
住民の意見を積極的に取り入れたもので、既存のコミュニティー施設を残し、地区の周囲に壁状の高層住棟を配置し、その内側に庭付きの低層集合住宅を配置した計画である。,バイ,バイカー再開発(イギリス ニューキャッスル)：ラルフ・アースキン,
ミース・ファン・デル・ローエが全体計画を行った実験住宅展で建築された住宅団地であり、「インターナショナル・スタイル」の成立に影響を与えたものである。 ,ヴァ,ヴァイセンホーフ・ジードルング(ドイツ シュトゥットガルト)：ミース・ファン・デル・ローエ,
ジャン・プルーヴェによって設計されたものであり、アルミニウム等の材料が用いられている。,ムー,ムードンの住宅：ジャン・プルーヴェ,
オーギュスト・ペレ によって設計された集合住宅であり、構造を鉄筋コンクリート造とした初期の集合住宅とされている。,フラ,フランクリン街のアパート：オーギュスト・ペレ,
東日本大震災の津波で立ち枯れたスギの丸太を用い、被災した人々の集いの場としてつくられた集会場である。 ,陸前,陸前高田のみんなの家：乾久美子(いぬい くみこ)、伊東豊雄(いとう とよお)、等,
阪神・淡路大震災の復興事業として計画されたグループハウスであり、建築物の中央にある中庭を軸に左右対称に各ユニットの玄関、共用のLDK、居室が配置され、各居室からも直接外部に出ることができるように平家建てで計画されている。 ,グル,グループハウス尼崎：小林正美(こばやし まさみ),
東日本大震災後に被災者を対象に建設された、高齢者向け住戸と一般向け住戸で構成され、サポート拠点（サポートセンター）を併設した災害公営住宅である。 ,釜石,釜石・平田地区仮設住宅団地：東大西出・大月研＋岩手県立大学狩野研,
東日本大震災による被災者のための公営住宅であり、リビングアクセス形式の採用や、1フロア毎に共用廊下の配置を反転させることで、高齢居住者の見守りがしやすい環境づくりが行われている。 ,釜石,釜石市天神復興住宅：千葉学(ちば まなぶ),
■学校・幼稚園,,■学校・幼稚園,
学習センターを中心として、オープンクラスルーム(16m×16m)と特別教室を中庭を介して配置している。 ,加藤,加藤学園暁秀(ぎょうしゅう)初等学校(静岡県)：槇総合計画事務所,日本で初めてのオープンスクールの小学校。
教室間の壁を取り払ったオープンスペースによる施設計画が特徴。,東浦,東浦町立緒川小学校(愛知県)：田中・西野設計事務所,
クラスルームの床面積を通常の約1.5倍とし、クラスルーム内に畳コーナー、ベンチ等のあるアルコーブを設けている ,宮代,宮代町立笠原小学校(埼玉県)：象設計集団,
オープンスペースをメディアスペース（VTR・スライド・OHP学習コーナー等）と組み合わせた計画が特徴である。,目黒,目黒区立宮前小学校(東京都)：アルコム,
ランチルームに音楽室を隣接させてオーディトリウムの機能をもたせて地域の利用も可能としている。 ,浪合,浪合学校(長野県)：湯澤正信(ゆざわ まさのぶ),
クラスルーム、ワークスペース、アルコーブ、中庭等をひとまとまりにした空間を、低、中、高学年ごとに配置し、多様な学習展開への対応を図っている。 ,千葉,千葉市立打瀬小学校(千葉県)：シーラカンス,
クラスルーム、オープンスペース及びテラス等を、低、中、高学年ごとにまとめたユニットとし、各ユニット、多目的ホール及び屋外劇場を、中庭を巡るスロープで結んでいる。 ,棚倉,棚倉町立社川小学校(福島県)：近藤道男(こんどう みちお),
吹抜けの大空間に面して、機能を特定しないスタジオを雛壇状に設けている。,公立,公立はこだて未来大学(北海道)：山本理顕(やまもと りけん),
オープンプラン型を採用し、旧来型の職員室の代わりに壁のない教員コーナーやワーキングスペースを設けることで、複数の教員で児童を見守ることのできる空間整備が行われた。 ,福岡,福岡市立博多小学校(福岡県)：シーラカンスK&H,
屋内の間仕切壁が少なく、引戸の多用により屋外ともつながる広々とした空間の上に、自由に走り回れる円環状のウッドデッキを設けた屋根がある幼稚園である。 ,ふじ,ふじようちえん(東京都)：手塚貴晴（てづか たかはる)・手塚由比(てづか ゆい),
工場跡地において、官民が連携し、防災公園と一体化して計画された。 ,立命,立命館大学いばらきキャンパス：竹中工務店,
■図書館,,■図書館,
1階に間仕切のない開架室を設け、貸し出し中心の機能構成をとっている。 ,日野,日野市立中央図書館：鬼頭梓(きとう あずさ),
東側の開架部門と、中庭を挟んで西側にある学習・管理部門を分けることによって、開架部門を気軽に立ち寄り利用できる空間とした図書館である。 ,金沢,金沢市立玉川図書館：監修：谷口吉郎(たにぐち よしろう)、設計：谷口吉生(たにぐち よしお),
様々な住民の要求に応える形で、床面積と開架冊数の量的拡大、館内読書や調べ物への対応という質的変化、住民の交流拠点としての位置付けの明確化など、大規模化、高機能化した図書館である。 ,朝霞,朝霞市立図書館本館：和(やまと)設計事務所,
多様な閲覧席と豊富な資料を備え、開架書架群に沿ってベンチ、和室、屋外読書スペースなどを設けることで、来館者が長い時間を過ごせるように計画した図書館である。 ,苅田,苅田町立図書館本館：山手総合計画研究所(やまて),
書庫を地下に、中庭に面した閲覧室を半地下に配置することで建築物の地上部分のボリュームを抑え、景観上の調和に配慮した図書館である。 ,国立,国立国会図書館関西館：陶器二三雄(とうき ふみお),
間仕切りを必要最小限に抑えることで大空間を実現させ、三角形平面プランの中央に開架書庫を配置し、3つの辺に沿って緩やかに分けられたスペースがつくられている。 ,まち,まちとしょテラソ：古谷誠章(ふるや のぶあき)＋NASCA(なすか),
建築物の屋内外を巡るスロープや階段、テラス、緑化された屋上を備え、駅前からは施設の賑わいが見え、また、施設からは街が眺められるように計画された。 ,太田,太田市美術館・図書館：平田晃久(ひらた あきひさ),
円筒と直方体が組み合わされた外観をもち、巨大な円筒の内部には、壁に沿って書架があり、中央にサービスデスクが設けられている。 ,スト,ストックホルム市立図書館：グンナール・アスプルンド,
緑豊かな中庭をもつロの字型の基壇部と、その四隅に配置されたL字型の高層棟により構成されている。 ,フラ,フランス国立図書館：ドミニク・ペロー,
大きな三つのゾーンからなり、前庭から入る中央ゾーンは、傾斜屋根により高い天井高を有し、中央にガラス張りの積層式書架形式のライブラリーがある。 ,英国,英国図書館セントパンクラス館：コリン・セント・ジョン・ウィルソン,
既存の王立図書館（旧館）に対し、道路を挟んだ運河側に黒色のガラス張りの新館が増築され、メインエントランスは新館に設けられている。 ,デン,デンマーク王立図書館：シュミット・ハマー・ラッセン,
傾斜した巨大な円盤状の屋根構造をもち、外壁には世界各地・各時代の文字が彫り込まれている。 ,新ア,新アレクサンドリア図書館：スノヘッタ,
外観全体が格子状の鉄骨とガラスで構成され、室内空間に外光を導いている。 ,シア,シアトル中央図書館：OMA(おーえむえー),
